
Note: No compatibility mode selected!


Circuit: * gate-driver-core-drive-postlayout @ ff_-40c_vlogic3p30v-vdrv6p00v -- generated by sim/harness, do not edit

Doing analysis at TEMP = -40.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
x1_inb__t0                                 3.3
in__t1                                       0
gnd_logic__t0                      2.52703e-11
gnd_logic                                    0
x2_n3__t1                                    6
x2_n2__t2                          2.42869e-09
gnd_drv__t2                        4.58332e-12
gnd_drv                            4.46061e-12
gnd_drv__t105                      5.92848e-11
x2_n5__t131                                  6
out__t174                          2.47779e-09
out__t61                           2.47773e-09
x2_n5__t121                                  6
gnd_drv__t245                      5.98262e-11
gnd_drv__t100                       6.0365e-11
x2_n5__t120                                  6
out__t169                          2.47765e-09
out__t49                           2.47754e-09
x2_n5__t93                                   6
gnd_drv__t233                       6.0903e-11
gnd_drv__t84                       6.14419e-11
x2_n5__t92                                   6
out__t153                          2.47741e-09
out__t60                           2.47726e-09
x2_n5__t119                                  6
gnd_drv__t244                      6.19783e-11
gnd_drv__t85                        6.2514e-11
x2_n5__t94                                   6
out__t154                           2.4771e-09
out__t62                           2.47692e-09
x2_n5__t122                                  6
gnd_drv__t246                      6.30508e-11
gnd_drv__t106                      6.35853e-11
x2_n5__t132                                  6
out__t175                          2.47673e-09
out__t67                           2.47653e-09
x2_n5__t133                                  6
gnd_drv__t251                      6.41209e-11
x2_n4__t185                        2.25927e-09
x2_n3__t5                                    6
gnd_drv__t5                        5.44036e-11
gnd_drv__t107                       6.4656e-11
x2_n5__t134                                  6
out__t176                          2.47632e-09
out__t68                            2.4761e-09
x2_n5__t135                                  6
gnd_drv__t252                      6.51888e-11
gnd_drv__t108                      6.57229e-11
x2_n5__t136                                  6
out__t177                          2.47587e-09
out__t69                           2.47564e-09
x2_n5__t137                                  6
gnd_drv__t253                      6.62564e-11
gnd_drv__t109                      6.67878e-11
x2_n5__t138                                  6
out__t178                          2.47541e-09
out__t70                           2.47517e-09
x2_n5__t139                                  6
gnd_drv__t254                      6.73204e-11
gnd_drv__t114                      6.78526e-11
x2_n5__t149                                  6
out__t183                          2.47492e-09
out__t72                           2.47468e-09
x2_n5__t141                                  6
gnd_drv__t256                      6.83827e-11
gnd_drv__t110                       6.8914e-11
x2_n5__t142                                  6
out__t179                          2.47443e-09
out__t73                           2.47418e-09
x2_n5__t143                                  6
gnd_drv__t257                      6.94449e-11
gnd_drv__t206                       5.4212e-11
x2_n3__t6                                    6
x2_n4__t184                         2.2706e-09
gnd_drv__t111                      6.99754e-11
x2_n5__t144                                  6
out__t180                          2.47392e-09
out__t74                           2.47366e-09
x2_n5__t145                                  6
gnd_drv__t258                      7.05056e-11
gnd_drv__t112                      7.10353e-11
x2_n5__t146                                  6
out__t181                          2.47341e-09
out__t75                           2.47315e-09
x2_n5__t147                                  6
gnd_drv__t259                      7.15646e-11
gnd_drv__t113                      7.20936e-11
x2_n5__t148                                  6
out__t182                          2.47289e-09
out__t71                           2.47262e-09
x2_n5__t140                                  6
gnd_drv__t255                      7.26221e-11
gnd_drv__t97                       7.31503e-11
x2_n5__t114                                  6
out__t166                          2.47236e-09
out__t58                            2.4721e-09
x2_n5__t115                                  6
gnd_drv__t242                      7.36781e-11
gnd_drv__t98                       7.42055e-11
x2_n5__t116                                  6
out__t167                          2.47183e-09
out__t59                           2.47157e-09
x2_n5__t117                                  6
gnd_drv__t243                      7.47326e-11
x2_n4__t183                        2.28201e-09
x2_n3__t18                                   6
gnd_drv__t205                      5.40177e-11
gnd_drv__t99                       7.52593e-11
x2_n5__t118                                  6
out__t168                           2.4713e-09
out__t36                           2.47104e-09
x2_n5__t70                                   6
gnd_drv__t196                      7.57856e-11
gnd_drv__t124                      7.63116e-11
x2_n5__t164                                  6
out__t192                          2.47077e-09
out__t44                            2.4705e-09
x2_n5__t85                                   6
gnd_drv__t228                      7.68371e-11
gnd_drv__t7                        7.73623e-11
x2_n5__t1                                    6
out__t0                            2.47023e-09
out__t108                          2.45932e-09
x2_n5__t216                                  6
gnd_drv__t292                       1.8731e-11
gnd_drv__t149                       1.9235e-11
x2_n5__t215                                  6
out__t217                          2.45961e-09
out__t107                           2.4599e-09
x2_n5__t213                                  6
gnd_drv__t291                      1.97425e-11
gnd_drv__t147                      2.02551e-11
x2_n5__t212                                  6
out__t215                          2.46018e-09
out__t106                          2.46047e-09
x2_n5__t211                                  6
gnd_drv__t290                      2.07694e-11
gnd_drv__t56                       5.38221e-11
x2_n3__t14                                   6
x2_n4__t189                        2.29351e-09
gnd_drv__t146                      2.12871e-11
x2_n5__t210                                  6
out__t214                          2.46076e-09
out__t105                          2.46104e-09
x2_n5__t209                                  6
gnd_drv__t289                      2.18065e-11
gnd_drv__t148                      2.23293e-11
x2_n5__t214                                  6
out__t216                          2.46133e-09
