
Note: No compatibility mode selected!


Circuit: * gate-driver-core-drive-postlayout @ fs_125c_vlogic3p30v-vdrv6p00v -- generated by sim/harness, do not edit

Doing analysis at TEMP = 125.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
x1_inb__t0                             3.29999
in__t1                                       0
gnd_logic__t0                      6.24142e-07
gnd_logic                                    0
x2_n3__t1                                    6
x2_n2__t2                          4.93005e-09
gnd_drv__t2                        1.14086e-08
gnd_drv                            7.17955e-11
gnd_drv__t105                      1.31898e-10
x2_n5__t131                                  6
out__t174                          5.14811e-09
out__t61                           5.14804e-09
x2_n5__t121                                  6
gnd_drv__t245                      1.32499e-10
gnd_drv__t100                      1.33097e-10
x2_n5__t120                                  6
out__t169                          5.14795e-09
out__t49                           5.14783e-09
x2_n5__t93                                   6
gnd_drv__t233                      1.33694e-10
gnd_drv__t84                       1.34293e-10
x2_n5__t92                                   6
out__t153                          5.14769e-09
out__t60                           5.14753e-09
x2_n5__t119                                  6
gnd_drv__t244                       1.3489e-10
gnd_drv__t85                       1.35486e-10
x2_n5__t94                                   6
out__t154                          5.14735e-09
out__t62                           5.14715e-09
x2_n5__t122                                  6
gnd_drv__t246                      1.36084e-10
gnd_drv__t106                       1.3668e-10
x2_n5__t132                                  6
out__t175                          5.14694e-09
out__t67                           5.14672e-09
x2_n5__t133                                  6
gnd_drv__t251                      1.37277e-10
x2_n4__t185                        4.76441e-09
x2_n3__t5                                    6
gnd_drv__t5                        1.27313e-10
gnd_drv__t107                      1.37873e-10
x2_n5__t134                                  6
out__t176                          5.14649e-09
out__t68                           5.14625e-09
x2_n5__t135                                  6
gnd_drv__t252                      1.38468e-10
gnd_drv__t108                      1.39064e-10
x2_n5__t136                                  6
out__t177                            5.146e-09
out__t69                           5.14574e-09
x2_n5__t137                                  6
gnd_drv__t253                       1.3966e-10
gnd_drv__t109                      1.40254e-10
x2_n5__t138                                  6
out__t178                          5.14548e-09
out__t70                           5.14522e-09
x2_n5__t139                                  6
gnd_drv__t254                      1.40849e-10
gnd_drv__t114                      1.41444e-10
x2_n5__t149                                  6
out__t183                          5.14495e-09
out__t72                           5.14468e-09
x2_n5__t141                                  6
gnd_drv__t256                      1.42037e-10
gnd_drv__t110                      1.42632e-10
x2_n5__t142                                  6
out__t179                           5.1444e-09
out__t73                           5.14413e-09
x2_n5__t143                                  6
gnd_drv__t257                      1.43226e-10
gnd_drv__t206                      1.26983e-10
x2_n3__t6                                    6
x2_n4__t184                        4.77842e-09
gnd_drv__t111                       1.4382e-10
x2_n5__t144                                  6
out__t180                          5.14384e-09
out__t74                           5.14356e-09
x2_n5__t145                                  6
gnd_drv__t258                      1.44414e-10
gnd_drv__t112                      1.45007e-10
x2_n5__t146                                  6
out__t181                          5.14328e-09
out__t75                           5.14299e-09
x2_n5__t147                                  6
gnd_drv__t259                      1.45601e-10
gnd_drv__t113                      1.46194e-10
x2_n5__t148                                  6
out__t182                           5.1427e-09
out__t71                           5.14241e-09
x2_n5__t140                                  6
gnd_drv__t255                      1.46787e-10
gnd_drv__t97                       1.47379e-10
x2_n5__t114                                  6
out__t166                          5.14212e-09
out__t58                           5.14183e-09
x2_n5__t115                                  6
gnd_drv__t242                      1.47972e-10
gnd_drv__t98                       1.48564e-10
x2_n5__t116                                  6
out__t167                          5.14154e-09
out__t59                           5.14125e-09
x2_n5__t117                                  6
gnd_drv__t243                      1.49156e-10
x2_n4__t183                        4.79246e-09
x2_n3__t18                                   6
gnd_drv__t205                       1.2665e-10
gnd_drv__t99                       1.49748e-10
x2_n5__t118                                  6
out__t168                          5.14095e-09
out__t36                           5.14066e-09
x2_n5__t70                                   6
gnd_drv__t196                      1.50339e-10
gnd_drv__t124                       1.5093e-10
x2_n5__t164                                  6
out__t192                          5.14036e-09
out__t44                           5.14006e-09
x2_n5__t85                                   6
gnd_drv__t228                      1.51521e-10
gnd_drv__t7                        1.52112e-10
x2_n5__t1                                    6
out__t0                            5.13977e-09
out__t108                          5.12796e-09
x2_n5__t216                                  6
gnd_drv__t292                      8.73735e-11
gnd_drv__t149                      8.79244e-11
x2_n5__t215                                  6
out__t217                          5.12828e-09
out__t107                          5.12859e-09
x2_n5__t213                                  6
gnd_drv__t291                      8.84791e-11
gnd_drv__t147                      8.90395e-11
x2_n5__t212                                  6
out__t215                           5.1289e-09
out__t106                          5.12921e-09
x2_n5__t211                                  6
gnd_drv__t290                      8.96018e-11
gnd_drv__t56                       1.26316e-10
x2_n3__t14                                   6
x2_n4__t189                        4.80655e-09
gnd_drv__t146                      9.01679e-11
x2_n5__t210                                  6
out__t214                          5.12952e-09
out__t105                          5.12983e-09
x2_n5__t209                                  6
gnd_drv__t289                      9.07358e-11
gnd_drv__t148                      9.13075e-11
x2_n5__t214                                  6
out__t216                          5.13014e-09
out__t103                          5.13046e-09
x2_n5__t207                                  6
gnd_drv__t287                      9.18811e-11
gnd_drv__t145                      9.24565e-11
x2_n5__t206                                  6
out__t213                          5.13077e-09
out__t102                          5.13108e-09
x2_n5__t205                                  6
gnd_drv__t286                      9.30357e-11
gnd_drv__t144                      9.36149e-11
x2_n5__t204                                  6
out__t212                          5.13139e-09
out__t79                            5.1317e-09
x2_n5__t158                                  6
gnd_drv__t263                      9.41959e-11
gnd_drv__t125                      9.47787e-11
x2_n5__t165                                  6
out__t193                          5.13201e-09
out__t81                           5.13232e-09
x2_n5__t163                                  6
gnd_drv__t265                      9.53635e-11
x2_n4__t179                        4.82068e-09
x2_n3__t13                                   6
gnd_drv__t199                      1.25982e-10
gnd_drv__t123                        9.595e-11
x2_n5__t162                                  6
out__t191                          5.13263e-09
out__t95                           5.13294e-09
x2_n5__t190                                  6
gnd_drv__t279                      9.65365e-11
gnd_drv__t139                      9.71249e-11
x2_n5__t194                                  6
out__t207                          5.13325e-09
out__t109                          5.13356e-09
x2_n5__t219                                  6
gnd_drv__t293                      9.77132e-11
gnd_drv__t151                      9.83033e-11
x2_n5__t218                                  6
out__t219                          5.13387e-09
out__t104                          5.13418e-09
x2_n5__t208                                  6
gnd_drv__t288                      9.88934e-11
gnd_drv__t136                      9.94854e-11
x2_n5__t189                                  6
out__t204                          5.13449e-09
out__t94                           5.13479e-09
x2_n5__t188                                  6
gnd_drv__t278                      1.00079e-10
gnd_drv__t135                      1.00673e-10
x2_n5__t187                                  6
out__t203                           5.1351e-09
out__t93                           5.13541e-09
x2_n5__t186                                  6
gnd_drv__t277                      1.01266e-10
gnd_drv__t55                       1.25644e-10
x2_n3__t12                                   6
x2_n4__t188                        4.83484e-09
gnd_drv__t94                        1.0186e-10
x2_n5__t109                                  6
out__t163                          5.13572e-09
out__t96                           5.13603e-09
x2_n5__t192                                  6
gnd_drv__t280                      1.02455e-10
gnd_drv__t137                      1.03051e-10
x2_n5__t191                                  6
out__t205                          5.13633e-09
out__t55                           5.13664e-09
x2_n5__t108                                  6
gnd_drv__t239                      1.03648e-10
gnd_drv__t93                       1.04245e-10
x2_n5__t107                                  6
out__t162                          5.13695e-09
out__t54                           5.13725e-09
x2_n5__t106                                  6
gnd_drv__t238                      1.04842e-10
gnd_drv__t92                       1.05439e-10
x2_n5__t105                                  6
out__t161                          5.13756e-09
out__t57                           5.13786e-09
x2_n5__t113                                  6
gnd_drv__t241                      1.06038e-10
gnd_drv__t90                       1.06637e-10
x2_n5__t103                                  6
out__t159                          5.13817e-09
out__t53                           5.13847e-09
x2_n5__t102                                  6
gnd_drv__t237                      1.07235e-10
x2_n4__t178                        4.84903e-09
x2_n3__t11                                   6
gnd_drv__t198                      1.25306e-10
gnd_drv__t122                      1.07834e-10
x2_n5__t161                                  6
out__t190                          5.13878e-09
out__t52                           5.13908e-09
x2_n5__t100                                  6
gnd_drv__t236                      1.08433e-10
gnd_drv__t88                       1.09033e-10
x2_n5__t99                                   6
out__t157                          5.13939e-09
out__t51                           5.13969e-09
x2_n5__t98                                   6
gnd_drv__t235                      1.09633e-10
gnd_drv__t87                       1.10233e-10
x2_n5__t97                                   6
out__t156                          5.13999e-09
out__t50                           5.14029e-09
x2_n5__t96                                   6
gnd_drv__t234                      1.10834e-10
gnd_drv__t82                       1.11435e-10
x2_n5__t86                                   6
out__t151                          5.14059e-09
out__t100                          5.14089e-09
x2_n5__t202                                  6
gnd_drv__t284                      1.12035e-10
gnd_drv__t143                      1.12637e-10
x2_n5__t201                                  6
out__t211                          5.14119e-09
out__t99                           5.14149e-09
x2_n5__t200                                  6
gnd_drv__t283                      1.13237e-10
gnd_drv__t54                       1.24967e-10
x2_n3__t10                                   6
x2_n4__t187                        4.86324e-09
gnd_drv__t142                      1.13839e-10
x2_n5__t199                                  6
out__t210                          5.14178e-09
out__t98                           5.14208e-09
x2_n5__t198                                  6
gnd_drv__t282                       1.1444e-10
gnd_drv__t141                      1.15044e-10
x2_n5__t197                                  6
out__t209                          5.14237e-09
out__t97                           5.14267e-09
x2_n5__t196                                  6
gnd_drv__t281                      1.15645e-10
gnd_drv__t140                      1.16246e-10
x2_n5__t195                                  6
out__t208                          5.14296e-09
out__t101                          5.14325e-09
x2_n5__t203                                  6
gnd_drv__t285                       1.1685e-10
gnd_drv__t138                      1.17451e-10
x2_n5__t193                                  6
out__t206                          5.14354e-09
out__t47                           5.14382e-09
