
Note: No compatibility mode selected!


Circuit: * gate-driver-core-drive-postlayout @ sf_27c_vlogic3p30v-vdrv5p00v -- generated by sim/harness, do not edit

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
x1_inb__t1                                 3.3
in__t1                                       0
gnd_drv_gnd_logic__t299            4.47657e-12
gnd_logic                                    0
x2_n3__t1                                    5
x2_n2__t2                          2.94715e-09
gnd_drv_gnd_logic__t302            3.92851e-12
gnd_drv                            3.70353e-12
gnd_drv_gnd_logic__t407            4.03093e-11
x2_n5__t131                                  5
out__t174                          3.53384e-09
out__t61                           3.53379e-09
x2_n5__t121                                  5
gnd_drv_gnd_logic__t547            4.06658e-11
gnd_drv_gnd_logic__t402             4.1022e-11
x2_n5__t120                                  5
out__t169                          3.53372e-09
out__t49                           3.53363e-09
x2_n5__t93                                   5
gnd_drv_gnd_logic__t535            4.13779e-11
gnd_drv_gnd_logic__t386            4.17336e-11
x2_n5__t92                                   5
out__t153                          3.53352e-09
out__t60                            3.5334e-09
x2_n5__t119                                  5
gnd_drv_gnd_logic__t546            4.20904e-11
gnd_drv_gnd_logic__t387            4.24455e-11
x2_n5__t94                                   5
out__t154                          3.53326e-09
out__t62                           3.53311e-09
x2_n5__t122                                  5
gnd_drv_gnd_logic__t548            4.28003e-11
gnd_drv_gnd_logic__t408            4.31564e-11
x2_n5__t132                                  5
out__t175                          3.53295e-09
out__t67                           3.53279e-09
x2_n5__t133                                  5
gnd_drv_gnd_logic__t553            4.35109e-11
x2_n4__t185                        3.25711e-09
x2_n3__t5                                    5
gnd_drv_gnd_logic__t306            3.57656e-11
gnd_drv_gnd_logic__t409            4.38652e-11
x2_n5__t134                                  5
out__t176                          3.53261e-09
out__t68                           3.53243e-09
x2_n5__t135                                  5
gnd_drv_gnd_logic__t554            4.42207e-11
gnd_drv_gnd_logic__t410             4.4576e-11
x2_n5__t136                                  5
out__t177                          3.53224e-09
out__t69                           3.53205e-09
x2_n5__t137                                  5
gnd_drv_gnd_logic__t555            4.49297e-11
gnd_drv_gnd_logic__t411            4.52848e-11
x2_n5__t138                                  5
out__t178                          3.53185e-09
out__t70                           3.53165e-09
x2_n5__t139                                  5
gnd_drv_gnd_logic__t556            4.56396e-11
gnd_drv_gnd_logic__t416            4.59929e-11
x2_n5__t149                                  5
out__t183                          3.53145e-09
out__t72                           3.53124e-09
x2_n5__t141                                  5
gnd_drv_gnd_logic__t558            4.63474e-11
gnd_drv_gnd_logic__t412            4.67019e-11
x2_n5__t142                                  5
out__t179                          3.53103e-09
out__t73                           3.53082e-09
x2_n5__t143                                  5
gnd_drv_gnd_logic__t559            4.70561e-11
gnd_drv_gnd_logic__t508            3.55663e-11
x2_n3__t6                                    5
x2_n4__t184                        3.26758e-09
gnd_drv_gnd_logic__t413            4.74103e-11
x2_n5__t144                                  5
out__t180                          3.53061e-09
out__t74                           3.53039e-09
x2_n5__t145                                  5
gnd_drv_gnd_logic__t560            4.77643e-11
gnd_drv_gnd_logic__t414            4.81181e-11
x2_n5__t146                                  5
out__t181                          3.53018e-09
