
Note: No compatibility mode selected!


Circuit: * gate-driver-core-drive-postlayout @ sf_-40c_vlogic3p63v-vdrv5p50v -- generated by sim/harness, do not edit

Doing analysis at TEMP = -40.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
x1_inb__t0                                3.63
in__t1                            -1.23629e-06
gnd_drv_gnd_logic__t300            2.90611e-08
gnd_logic                                    0
x2_n3__t1                                  5.5
x2_n2__t2                            4.613e-07
gnd_drv_gnd_logic__t304            1.89694e-07
gnd_drv                            4.15038e-07
gnd_drv_gnd_logic__t419            2.87258e-06
x2_n5__t180                            5.49998
out__t200                          5.39568e-07
out__t90                           5.42248e-07
x2_n5__t181                            5.49998
gnd_drv_gnd_logic__t560            2.88217e-06
gnd_drv_gnd_logic__t420            2.89013e-06
x2_n5__t182                            5.49998
out__t201                          5.46239e-07
out__t91                           5.51426e-07
x2_n5__t183                            5.49998
gnd_drv_gnd_logic__t561            2.89651e-06
gnd_drv_gnd_logic__t315            2.90131e-06
x2_n5__t5                              5.49998
out__t113                            5.576e-07
out__t85                           5.64642e-07
x2_n5__t172                            5.49998
gnd_drv_gnd_logic__t555            2.90467e-06
gnd_drv_gnd_logic__t314            2.90642e-06
x2_n5__t4                              5.49998
out__t112                          5.72438e-07
out__t1                            5.80776e-07
x2_n5__t3                              5.49998
gnd_drv_gnd_logic__t454            2.90671e-06
gnd_drv_gnd_logic__t313            2.90565e-06
x2_n5__t2                              5.49998
out__t111                          5.89541e-07
out__t4                            5.98623e-07
x2_n5__t8                              5.49998
gnd_drv_gnd_logic__t457            2.90311e-06
x2_n4__t185                       -3.01871e-05
x2_n3__t5                              5.49998
gnd_drv_gnd_logic__t306            5.83072e-07
gnd_drv_gnd_logic__t316            2.89919e-06
x2_n5__t9                              5.49998
out__t114                          6.07998e-07
out__t6                            6.17467e-07
x2_n5__t12                             5.49998
gnd_drv_gnd_logic__t459            2.89406e-06
gnd_drv_gnd_logic__t324            2.88764e-06
x2_n5__t15                             5.49998
out__t117                          6.26925e-07
out__t2                            6.36534e-07
x2_n5__t6                              5.49998
gnd_drv_gnd_logic__t455             2.8799e-06
gnd_drv_gnd_logic__t407            2.87104e-06
x2_n5__t155                            5.49998
out__t188                          6.46012e-07
out__t77                            6.5535e-07
x2_n5__t156                            5.49998
gnd_drv_gnd_logic__t547            2.86103e-06
gnd_drv_gnd_logic__t408            2.84982e-06
x2_n5__t157                            5.49998
out__t189                          6.64623e-07
out__t78                           6.73733e-07
x2_n5__t158                            5.49998
gnd_drv_gnd_logic__t548            2.83762e-06
gnd_drv_gnd_logic__t409            2.82438e-06
x2_n5__t159                            5.49998
out__t190                          6.82588e-07
out__t79                           6.91265e-07
x2_n5__t160                            5.49998
gnd_drv_gnd_logic__t549            2.81015e-06
gnd_drv_gnd_logic__t465            6.37077e-07
x2_n3__t6                              5.49998
x2_n4__t184                       -3.00495e-05
gnd_drv_gnd_logic__t410            2.79496e-06
x2_n5__t161                            5.49998
out__t191                          6.99756e-07
out__t80                           7.07891e-07
x2_n5__t162                            5.49998
gnd_drv_gnd_logic__t550            2.77886e-06
gnd_drv_gnd_logic__t411            2.76189e-06
x2_n5__t163                            5.49998
out__t192                          7.15832e-07
out__t81                           7.23412e-07
x2_n5__t164                            5.49998
gnd_drv_gnd_logic__t551            2.74406e-06
gnd_drv_gnd_logic__t412            2.72545e-06
x2_n5__t165                            5.49998
out__t193                          7.30788e-07
out__t82                           7.37803e-07
x2_n5__t166                            5.49998
gnd_drv_gnd_logic__t552            2.70607e-06
gnd_drv_gnd_logic__t413            2.68596e-06
x2_n5__t167                            5.49998
