
Note: No compatibility mode selected!


Circuit: * gate-driver-core-drive-with-uvlo-postlayout @ fs_-40c_vlogic2p97v-vdrv3p30v -- generated by sim/harness, do not edit

Doing analysis at TEMP = -40.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
x1_inb__t0                                2.97
in__t0                            -1.55953e-08
gnd_logic__t1376                  -2.49403e-11
gnd_logic                                    0
x2_n2__t2                          -3.9067e-06
x2_n1__t3                                  3.3
gnd_drv__t4                       -3.74968e-06
gnd_drv                           -3.82524e-06
out__t356                         -1.43646e-05
x2_n5__t164                            3.30011
gnd_drv__t937                     -2.07203e-05
out__t55                          -3.62744e-06
x3_lockout__t110                       3.29999
gnd_drv__t611                     -3.82974e-06
gnd_drv__t63                       -3.8297e-06
x3_lockout__t96                        3.29999
out__t557                         -3.62749e-06
out__t511                         -3.61853e-06
x3_lockout__t802                       3.29999
gnd_drv__t12                      -3.83856e-06
gnd_drv__t447                     -3.83848e-06
x3_lockout__t588                       3.29999
out__t914                         -3.61857e-06
out__t402                          -3.6186e-06
x3_lockout__t589                       3.29999
gnd_drv__t983                     -3.83843e-06
gnd_drv__t441                     -3.83839e-06
x3_lockout__t577                       3.29999
out__t908                         -3.61864e-06
out__t397                         -3.61868e-06
x3_lockout__t578                       3.29999
gnd_drv__t978                     -3.83834e-06
gnd_drv__t442                     -3.83829e-06
x3_lockout__t579                       3.29999
out__t909                         -3.61871e-06
out__t398                         -3.61875e-06
x3_lockout__t580                       3.29999
gnd_drv__t979                     -3.83825e-06
gnd_drv__t443                      -3.8382e-06
x3_lockout__t581                       3.29999
out__t910                         -3.61879e-06
gnd_drv__t401                     -2.05521e-05
x2_n5__t165                            3.30011
out__t868                         -1.42318e-05
out__t399                         -3.61882e-06
x3_lockout__t582                       3.29999
gnd_drv__t980                     -3.83815e-06
gnd_drv__t444                      -3.8381e-06
x3_lockout__t583                       3.29999
out__t911                         -3.61886e-06
out__t400                          -3.6189e-06
x3_lockout__t584                       3.29999
gnd_drv__t981                     -3.83806e-06
gnd_drv__t440                     -3.83801e-06
x3_lockout__t576                       3.29999
out__t907                         -3.61893e-06
out__t386                         -3.61897e-06
x3_lockout__t552                       3.29999
gnd_drv__t967                     -3.83796e-06
gnd_drv__t427                     -3.83792e-06
