
Note: No compatibility mode selected!


Circuit: * gate-driver-core-drive-with-uvlo-postlayout @ fs_27c_vlogic3p30v-vdrv4p15v -- generated by sim/harness, do not edit

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
x1_inb__t0                                 3.3
in__t0                             3.30739e-08
gnd_logic__t1376                   5.20259e-11
gnd_logic                                    0
x2_n2__t2                         -1.82124e-06
x2_n1__t3                                 4.15
gnd_drv__t4                       -2.11572e-06
gnd_drv                           -1.94474e-06
out__t356                          7.20929e-08
x2_n5__t164                            4.15004
gnd_drv__t937                      9.25435e-07
out__t55                          -1.89005e-06
x3_lockout__t110                  -1.77981e-06
gnd_drv__t611                     -1.94512e-06
gnd_drv__t63                      -1.94512e-06
x3_lockout__t96                   -1.77921e-06
out__t557                         -1.89008e-06
out__t511                         -1.88024e-06
x3_lockout__t802                  -1.85387e-06
gnd_drv__t12                      -1.94578e-06
gnd_drv__t447                     -1.94588e-06
x3_lockout__t588                  -1.85367e-06
out__t914                         -1.88031e-06
out__t402                         -1.88037e-06
x3_lockout__t589                  -1.85344e-06
gnd_drv__t983                     -1.94587e-06
gnd_drv__t441                     -1.94586e-06
x3_lockout__t577                  -1.85321e-06
out__t908                         -1.88044e-06
out__t397                          -1.8805e-06
x3_lockout__t578                  -1.85298e-06
gnd_drv__t978                     -1.94586e-06
gnd_drv__t442                     -1.94585e-06
x3_lockout__t579                  -1.85275e-06
out__t909                         -1.88057e-06
out__t398                         -1.88063e-06
x3_lockout__t580                  -1.85252e-06
gnd_drv__t979                     -1.94584e-06
gnd_drv__t443                     -1.94584e-06
x3_lockout__t581                  -1.85228e-06
out__t910                         -1.88069e-06
gnd_drv__t401                       9.2846e-07
x2_n5__t165                            4.15004
out__t868                          7.46319e-08
out__t399                         -1.88076e-06
x3_lockout__t582                  -1.85205e-06
gnd_drv__t980                     -1.94583e-06
gnd_drv__t444                     -1.94582e-06
x3_lockout__t583                  -1.85181e-06
out__t911                         -1.88082e-06
out__t400                         -1.88088e-06
x3_lockout__t584                  -1.85158e-06
gnd_drv__t981                     -1.94582e-06
gnd_drv__t440                     -1.94581e-06
x3_lockout__t576                  -1.85134e-06
out__t907                         -1.88095e-06
out__t386                         -1.88101e-06
x3_lockout__t552                   -1.8511e-06
gnd_drv__t967                      -1.9458e-06
gnd_drv__t427                      -1.9458e-06
x3_lockout__t553                  -1.85086e-06
out__t894                         -1.88107e-06
out__t387                         -1.88113e-06
x3_lockout__t554                  -1.85062e-06
gnd_drv__t968                     -1.94579e-06
gnd_drv__t428                     -1.94579e-06
x3_lockout__t555                  -1.85038e-06
out__t895                          -1.8812e-06
out__t388                         -1.88126e-06
x3_lockout__t556                  -1.85014e-06
gnd_drv__t969                     -1.94578e-06
gnd_drv__t429                     -1.94577e-06
x3_lockout__t557                   -1.8499e-06
out__t896                         -1.88132e-06
out__t357                           7.7313e-08
x2_n5__t166                            4.15004
gnd_drv__t938                      9.31538e-07
out__t389                         -1.88138e-06
x3_lockout__t558                  -1.84965e-06
gnd_drv__t970                     -1.94577e-06
gnd_drv__t435                     -1.94576e-06
x3_lockout__t568                  -1.84941e-06
out__t902                         -1.88144e-06
out__t390                         -1.88151e-06
x3_lockout__t560                  -1.84916e-06
gnd_drv__t971                     -1.94575e-06
gnd_drv__t431                     -1.94575e-06
x3_lockout__t561                  -1.84891e-06
out__t898                         -1.88157e-06
out__t391                         -1.88163e-06
x3_lockout__t562                  -1.84866e-06
gnd_drv__t972                     -1.94574e-06
gnd_drv__t432                     -1.94574e-06
x3_lockout__t563                  -1.84841e-06
out__t899                         -1.88169e-06
out__t392                         -1.88175e-06
x3_lockout__t564                  -1.84816e-06
gnd_drv__t973                     -1.94573e-06
gnd_drv__t433                     -1.94572e-06
x3_lockout__t565                  -1.84791e-06
out__t900                         -1.88181e-06
out__t393                         -1.88188e-06
x3_lockout__t566                  -1.84766e-06
gnd_drv__t974                     -1.94572e-06
gnd_drv__t434                     -1.94571e-06
x3_lockout__t567                  -1.84741e-06
out__t901                         -1.88194e-06
gnd_drv__t402                      9.34659e-07
x2_n5__t167                            4.15005
out__t869                          7.99648e-08
out__t404                           -1.882e-06
x3_lockout__t593                  -1.84715e-06
gnd_drv__t985                      -1.9457e-06
gnd_drv__t454                      -1.9457e-06
x3_lockout__t602                   -1.8469e-06
out__t921                         -1.88206e-06
out__t409                         -1.88212e-06
x3_lockout__t603                  -1.84664e-06
gnd_drv__t991                     -1.94569e-06
gnd_drv__t455                     -1.94569e-06
x3_lockout__t604                  -1.84638e-06
out__t922                         -1.88218e-06
out__t410                         -1.88224e-06
x3_lockout__t605                  -1.84612e-06
gnd_drv__t992                     -1.94568e-06
gnd_drv__t456                     -1.94567e-06
x3_lockout__t606                  -1.84586e-06
