
Note: No compatibility mode selected!


Circuit: * level-shifter-oxide-safety-postlayout @ tt_125c_vlogic3p63v-vdrv5p50v -- generated by sim/harness, do not edit

Doing analysis at TEMP = 125.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
x1_inb__t0                             3.62998
in__t0                             6.77626e-21
gnd_logic__t1376                   1.10066e-09
gnd_logic                                    0
x2_n2__t2                          2.04176e-06
x2_n1__t3                              5.49993
gnd_drv__t4                        4.22602e-08
gnd_drv                            2.42932e-08
out__t356                          3.68568e-06
x2_n5__t164                            5.49996
gnd_drv__t937                      4.09411e-08
out__t55                           3.69988e-06
x3_lockout__t110                   3.57101e-06
gnd_drv__t611                      2.42932e-08
gnd_drv__t63                       2.42932e-08
x3_lockout__t96                    3.57101e-06
out__t557                          3.69988e-06
out__t511                          3.69988e-06
x3_lockout__t802                   3.57101e-06
gnd_drv__t12                       2.42932e-08
gnd_drv__t447                      2.42932e-08
x3_lockout__t588                   3.57101e-06
out__t914                          3.69988e-06
out__t402                          3.69988e-06
x3_lockout__t589                   3.57101e-06
gnd_drv__t983                      2.42932e-08
gnd_drv__t441                      2.42932e-08
x3_lockout__t577                   3.57101e-06
out__t908                          3.69988e-06
out__t397                          3.69988e-06
x3_lockout__t578                   3.57101e-06
gnd_drv__t978                      2.42932e-08
gnd_drv__t442                      2.42932e-08
x3_lockout__t579                   3.57101e-06
out__t909                          3.69988e-06
out__t398                          3.69988e-06
x3_lockout__t580                   3.57101e-06
gnd_drv__t979                      2.42932e-08
gnd_drv__t443                      2.42932e-08
x3_lockout__t581                   3.57101e-06
out__t910                          3.69988e-06
gnd_drv__t401                       4.0874e-08
x2_n5__t165                            5.49996
out__t868                          3.68576e-06
out__t399                          3.69988e-06
x3_lockout__t582                   3.57101e-06
gnd_drv__t980                      2.42932e-08
gnd_drv__t444                      2.42932e-08
x3_lockout__t583                   3.57101e-06
out__t911                          3.69988e-06
out__t400                          3.69988e-06
x3_lockout__t584                   3.57101e-06
gnd_drv__t981                      2.42932e-08
gnd_drv__t440                      2.42932e-08
x3_lockout__t576                   3.57101e-06
out__t907                          3.69988e-06
out__t386                          3.69988e-06
x3_lockout__t552                   3.57101e-06
gnd_drv__t967                      2.42932e-08
gnd_drv__t427                      2.42932e-08
x3_lockout__t553                   3.57101e-06
out__t894                          3.69988e-06
out__t387                          3.69988e-06
x3_lockout__t554                   3.57101e-06
gnd_drv__t968                      2.42932e-08
gnd_drv__t428                      2.42932e-08
x3_lockout__t555                   3.57101e-06
out__t895                          3.69988e-06
out__t388                          3.69988e-06
x3_lockout__t556                   3.57101e-06
gnd_drv__t969                      2.42932e-08
gnd_drv__t429                      2.42932e-08
x3_lockout__t557                   3.57101e-06
out__t896                          3.69988e-06
out__t357                          3.68584e-06
x2_n5__t166                            5.49996
gnd_drv__t938                      4.08068e-08
out__t389                          3.69988e-06
x3_lockout__t558                   3.57101e-06
gnd_drv__t970                      2.42932e-08
gnd_drv__t435                      2.42932e-08
x3_lockout__t568                   3.57101e-06
out__t902                          3.69988e-06
out__t390                          3.69988e-06
x3_lockout__t560                   3.57101e-06
gnd_drv__t971                      2.42932e-08
gnd_drv__t431                      2.42932e-08
x3_lockout__t561                   3.57101e-06
out__t898                          3.69988e-06
out__t391                          3.69988e-06
x3_lockout__t562                   3.57101e-06
gnd_drv__t972                      2.42932e-08
gnd_drv__t432                      2.42932e-08
